tracker,sequences,frames,auc_micro,pr20_micro,auc_sequence_weighted,pr20_sequence_weighted,mean_iou,mean_center_error,absent_filter
SDTrack-base,172,93805,0.3449334806088679,0.45188422791962046,0.3449334806088679,0.45188422791962046,0.3413983742898461,57.95118380423178,True
SDTrack-tiny,172,93805,0.3321044657101498,0.43776984169287353,0.3321044657101498,0.43776984169287353,0.32834860802923743,60.09572347412059,True
grm,172,93805,0.3192654236907086,0.43449709503757794,0.31926542369070865,0.43449709503757794,0.3154103440386603,57.1891484288371,True
vitb,172,93805,0.3192654236907086,0.43449709503757794,0.31926542369070865,0.43449709503757794,0.3154103440386603,57.1891484288371,True
SNNTrack,172,93805,0.3160523120165542,0.4411811737114226,0.31605231201655426,0.4411811737114226,0.3121127013757693,60.05777226330763,True
simtrack,172,93805,0.31551834145090324,0.42079846490059164,0.3155183414509032,0.42079846490059164,0.31186200245085344,56.540323340978155,True
hit,172,93805,0.3149492231884027,0.4127924950695592,0.31494922318840274,0.4127924950695592,0.3112647664411007,56.94783025336072,True
stark,172,93805,0.3121850098767139,0.4088161611854379,0.3121850098767137,0.4088161611854379,0.30849720095527244,55.80724574721978,True
artrack,172,93805,0.30428933837363265,0.38051276584403815,0.3042893383736327,0.38051276584403815,0.3007067996426555,59.47428801080569,True
ostrack,172,93805,0.2970018381295515,0.3969937636586536,0.2970018381295516,0.3969937636586536,0.29273968135838035,63.64234238267906,True
stnet,172,93805,0.29039027137082873,0.40340067160599113,0.2903902713708288,0.40340067160599113,0.2865565931870178,56.79713383145128,True
hiptrack,172,93805,0.28841060109422273,0.389328927029476,0.2884106010942228,0.389328927029476,0.2839787870292416,67.76904301525225,True
prdimp,172,93805,0.26118116315655865,0.36919140770747827,0.2611811631565587,0.36919140770747827,0.2573788677082885,59.174445259569445,True
seqtrack,172,93805,0.2596522911179236,0.3726986834390491,0.2596522911179236,0.3726986834390491,0.25505209248238836,63.98310071580814,True
dimp,172,93805,0.23391816075163296,0.3093331911944992,0.233918160751633,0.3093331911944992,0.22848376020671318,85.10129937977591,True
atom,172,93805,0.23358367711404687,0.38847609402483874,0.23358367711404682,0.38847609402483874,0.22877600966023393,59.1383512782581,True
odtrack,172,93805,0.19952175911584014,0.24782261073503545,0.19952175911584022,0.24782261073503545,0.1943813640371495,70.07897669509732,True
siamrpn,172,93805,0.160612203217017,0.24892063322850594,0.16061220321701694,0.24892063322850594,0.15395125290021594,88.15772645319554,True
