137	160	46	17
148	159	40	16
145	158	47	16
143	157	51	20
144	157	51	17
147	154	51	18
152	155	48	16
158	152	49	16
163	149	51	16
164	146	51	17
169	145	47	18
176	144	51	19
182	141	53	19
190	139	51	19
193	137	51	20
200	133	50	23
204	130	48	24
207	127	48	24
210	124	48	26
213	121	46	26
216	119	46	26
219	115	45	28
221	111	44	28
222	108	44	29
223	104	42	30
223	102	41	31
222	100	42	30
220	98	40	29
219	96	39	28
217	96	35	28
215	98	31	24
213	97	31	24
210	98	31	23
207	97	30	22
202	98	33	22
198	98	33	22
191	100	35	21
188	102	31	20
181	104	34	20
176	107	31	17
171	108	31	16
163	110	32	16
158	112	33	15
153	111	30	15
146	112	31	15
142	111	31	16
138	112	30	16
131	110	28	17
126	109	29	19
123	108	26	20
118	112	28	17
115	110	27	18
111	111	27	20
110	111	27	19
104	112	27	18
100	113	28	18
98	114	28	16
95	115	30	17
92	117	30	17
90	118	31	18
86	123	30	17
84	125	31	17
83	128	30	16
79	133	31	18
77	136	32	17
76	144	32	15
75	148	35	15
77	153	33	15
76	159	34	13
78	164	35	13
78	170	36	13
78	173	37	15
81	180	40	14
87	182	38	14
87	184	38	17
96	185	37	19
97	184	38	23
104	182	39	22
109	178	39	27
117	175	39	28
120	172	41	31
124	169	42	33
131	167	40	35
137	164	39	35
138	163	41	36
142	162	40	35
143	161	43	33
145	158	41	33
145	159	39	31
146	158	40	28
144	159	40	24
145	155	39	23
141	156	41	23
138	155	42	18
135	152	40	15
134	150	40	15
132	149	39	13
128	147	39	14
127	144	36	13
124	140	37	13
124	140	35	12
124	133	33	14
122	132	30	13
121	126	30	15
119	124	28	16
120	122	27	16
120	118	26	18
120	115	24	18
121	112	25	18
122	110	24	18
121	108	25	19
120	106	27	20
121	106	27	18
123	105	29	20
123	104	30	18
124	105	31	18
129	104	30	19
132	103	29	18
136	104	29	19
139	105	30	19
142	104	30	19
147	107	31	17
153	108	33	15
160	109	32	13
166	111	33	12
174	111	33	12
184	112	32	12
190	110	33	13
198	110	34	14
207	108	32	15
214	107	33	18
226	105	31	17
235	99	30	22
244	99	30	22
252	97	29	23
259	91	30	28
265	87	31	31
271	80	35	35
278	76	32	38
283	72	32	40
286	70	31	42
287	67	33	46
290	66	31	45
288	64	32	49
286	60	36	52
280	60	36	53
276	60	38	54
262	73	42	42
268	63	34	45
246	68	47	53
234	67	51	57
219	73	53	57
190	78	63	57
166	88	66	54
159	96	63	50
143	87	65	63
127	101	59	56
115	110	52	50
100	119	48	38
98	118	43	37
90	118	40	36
85	119	41	31
84	118	37	31
81	118	36	32
80	116	36	31
81	114	33	33
82	113	34	33
86	113	31	32
89	115	32	30
93	113	31	30
96	116	31	27
102	117	32	26
107	119	33	25
115	122	32	21
119	123	33	21
124	124	33	18
137	125	31	19
