72	81	70	75
66	80	64	66
62	81	66	69
60	81	63	70
55	86	62	67
51	87	62	67
51	89	60	64
45	89	61	64
43	92	57	61
40	94	59	59
38	96	59	56
37	97	59	54
34	99	58	54
34	101	58	53
32	102	57	54
31	103	56	53
31	104	58	52
31	104	57	51
30	104	55	52
30	106	54	51
31	106	53	50
31	107	54	48
32	106	53	47
34	106	49	44
35	107	49	42
37	106	48	42
39	106	48	39
40	106	48	39
42	105	46	38
45	105	45	37
49	105	44	35
51	101	45	38
53	102	44	35
54	102	43	34
58	101	42	34
63	102	43	33
63	101	44	33
67	100	43	33
72	100	44	32
73	100	44	32
77	97	44	34
81	96	41	32
83	94	44	37
86	96	42	35
89	96	42	35
93	95	43	34
94	95	43	36
95	94	42	35
98	91	41	38
101	93	43	36
106	91	43	36
110	90	42	34
109	89	41	37
114	87	47	38
113	84	49	42
117	78	49	48
118	76	53	51
119	73	49	51
118	72	48	49
121	69	50	54
120	64	47	58
123	66	45	57
118	60	44	58
120	62	44	59
116	57	46	61
118	57	45	59
116	58	42	59
115	54	41	62
115	54	36	63
112	59	42	62
111	59	42	62
108	58	43	64
110	62	44	63
113	62	55	65
108	55	58	76
103	52	63	80
102	55	67	84
99	55	68	83
98	57	67	82
94	58	66	84
94	60	69	84
91	59	74	88
90	64	73	83
89	60	77	86
89	60	76	84
84	59	80	86
84	61	82	83
83	59	78	85
81	55	81	84
79	54	83	83
79	51	85	88
79	47	86	86
78	46	86	86
79	42	84	91
76	42	86	86
78	39	85	85
76	38	82	84
76	39	83	82
77	39	80	82
77	37	84	83
76	39	83	81
78	40	81	76
77	40	79	77
81	47	73	72
81	53	72	67
82	56	74	67
87	62	73	65
84	67	71	66
87	70	68	66
87	75	68	63
89	81	63	62
93	84	57	63
93	85	55	61
95	89	52	60
96	92	51	57
96	92	50	59
102	96	47	54
102	95	42	54
104	101	43	50
106	102	37	49
106	98	37	52
106	101	38	50
107	101	33	51
114	102	34	52
112	105	36	50
112	106	41	50
109	105	42	52
105	107	48	52
104	107	40	49
103	109	40	48
99	110	38	45
95	117	40	41
92	116	39	40
89	118	39	38
86	120	38	35
85	123	38	32
82	125	37	30
80	127	35	27
75	125	32	29
