threshold,normalized_precision
0.0,0.0002945797329143755
0.005,0.0002945797329143755
0.01,0.0018656716417910447
0.015,0.0048114689709348
0.02,0.008444619010212097
0.025,0.013747054202670856
0.03,0.020620581304006284
0.035,0.029261586802827966
0.04,0.040455616653574236
0.045,0.0516496465043205
0.05,0.06323644933228594
0.055,0.07551060487038491
0.06,0.09200706991358995
0.065,0.10978004713275727
0.07,0.12627651217596228
0.075,0.14503142183817752
0.08,0.1624116260801257
0.085,0.18175569520816967
0.09,0.1972702278083268
0.095,0.21622152395915162
0.1,0.2333071484681854
0.105,0.2499018067556952
0.11,0.26963864886095834
0.115,0.2867242733699921
0.12,0.302827965435978
0.125,0.3206991358994501
0.13,0.33611547525530244
0.135,0.35054988216810684
0.14,0.36626080125687355
0.145,0.38413197172034563
0.15,0.3988609583660644
0.155,0.4156520031421838
0.16,0.4292026708562451
0.165,0.44275333857030635
0.17,0.4604281225451689
0.17500000000000002,0.4748625294579733
0.18,0.48978790259230165
0.185,0.503731343283582
0.19,0.5180675569520817
0.195,0.5302435192458759
0.2,0.5418303220738413
0.20500000000000002,0.553318931657502
0.21,0.5649057344854674
0.215,0.5748232521602514
0.22,0.5859190887666929
0.225,0.5961311861743912
0.23,0.6049685781618225
0.23500000000000001,0.6141005498821681
0.24,0.6250981932443048
0.245,0.6335428122545169
0.25,0.6418892380204242
0.255,0.6482717989002357
0.26,0.6553417124901807
0.265,0.6628043990573449
0.27,0.6680086410054988
0.275,0.674980361351139
0.28,0.6792026708562451
0.28500000000000003,0.6843087195600943
0.29,0.6894147682639434
0.295,0.6955027494108406
0.3,0.7010015710919089
0.305,0.7060094265514533
0.31,0.7087588373919874
0.315,0.7121956009426551
0.32,0.7152395915161037
0.325,0.7191673212882954
0.33,0.7222113118617439
0.335,0.7248625294579732
0.34,0.7274155538098979
0.34500000000000003,0.7295758051846033
0.35000000000000003,0.7326197957580518
0.355,0.7360565593087196
0.36,0.7383150039277298
0.365,0.7397879025923016
0.37,0.7422427336999214
0.375,0.7440102120974077
0.38,0.7470542026708562
0.385,0.7486252945797329
0.39,0.7497054202670856
0.395,0.7509819324430479
0.4,0.7521602513747054
0.405,0.7536331500392773
0.41000000000000003,0.7559897879025923
0.41500000000000004,0.7576590730557737
0.42,0.7590337784760408
0.425,0.7609976433621367
0.43,0.762274155538099
0.435,0.7634524744697565
0.44,0.7644344069128044
0.445,0.7650235663786331
0.45,0.7662018853102907
0.455,0.766987431264729
0.46,0.7675765907305577
0.465,0.7687549096622153
0.47000000000000003,0.7699332285938727
0.47500000000000003,0.7709151610369207
0.48,0.7715043205027494
0.485,0.7725844461901021
0.49,0.7733699921445405
0.495,0.7738609583660644
0.5,0.7745483110761979
