tracker,sequences,frames,auc_micro,pr20_micro,auc_sequence_weighted,pr20_sequence_weighted,mean_iou,mean_center_error,absent_filter
sdtrack_base,32,59688,0.6014955988964398,0.908306527275164,0.6014955988964396,0.908306527275164,0.6021504631527139,843.6980929038693,True
sdtrack_tiny,32,59688,0.5929362387384697,0.9104175043559845,0.5929362387384698,0.9104175043559845,0.5935253304615761,843.7823151008881,True
v3,32,59688,0.5902914628012861,0.8958752177992226,0.5902914628012861,0.8958752177992226,0.5907958167611796,845.2611046802331,True
simtrack,32,59688,0.5685944800752692,0.8788198632891033,0.5685944800752695,0.8788198632891033,0.5689043274514041,844.3408249317351,True
artrack,32,59688,0.568295234227886,0.8786188178528347,0.568295234227886,0.8786188178528347,0.5685692292254101,845.5378641420272,True
grm,32,59688,0.5678966268158783,0.8841308135638655,0.5678966268158784,0.8841308135638655,0.568156364483691,845.3956626715441,True
hit,32,59688,0.5606515265519314,0.8791884465889291,0.5606515265519315,0.8791884465889291,0.5608618533820142,845.1686785979696,True
v2,32,59688,0.5577023625161069,0.8436536657284547,0.5577023625161069,0.8436536657284547,0.557637304672215,857.6580546446481,True
ostrack,32,59688,0.5453926424005489,0.8617477549926283,0.5453926424005487,0.8617477549926283,0.5453796145313766,847.9843017074079,True
seqtrack,32,59688,0.5307035528643336,0.8448766921324219,0.5307035528643336,0.8448766921324219,0.5305052053269895,847.6143147876298,True
v1,32,59688,0.5210600070863539,0.8412746280659429,0.5210600070863539,0.8412746280659429,0.5207455085508153,850.7252033999939,True
hiptrack,32,59688,0.5040778052473522,0.7955200375284814,0.5040778052473524,0.7955200375284814,0.5033494462291453,854.8150835336219,True
stark,32,59688,0.4894194033396102,0.7224400214448465,0.4894194033396102,0.7224400214448465,0.4883754270649185,859.1827967875925,True
SDTrack-no-pretrain,32,59688,0.4688951856584935,0.7246347674574454,0.4688951856584935,0.7246347674574454,0.4679274292110678,858.8929427115397,True
odtrack,32,59688,0.4181210943772302,0.6670184961801368,0.4181210943772303,0.6670184961801368,0.4163404304556891,861.9241240813001,True
